hotel_name,review_text,vader_compound,vader_label,sentiwordnet,afinn_score
Panamare Apart & Hotel Akyaka,room design something location plus parking lot saw coincidence entrance information give entrance first take tour inside hotel without see reception entrance take tour hotel without see reception entrance take tour hotel service describe closed hut side goriste make communication people small place bank hole make reservation price bank small place tell wanted pay reservation price card say fee little say system say system seem say although system could say added card transaction fee head rate although objected change look rest understand value customer satisfaction take license plate say park space ask open lock saw chance small pool closing check night could use know close pool darken place know close pool system breakfast call extra charge system give information put exit especially specify wifi password check time message although stayed top floor help suitcase stay,0.8555,positive,"{'positivity': 6.375, 'negativity': 0.625, 'objectivity': 119.0}",5.0
Panamare Apart & Hotel Akyaka,felt share think apart style place stay night need look type architectural service apartment akyaka call even come hotel tell could make reservation come hotel see room come hotel tell room order wander hot weather ask card ask daily difference make money transfer without explanation sound squeak item room lamp lit bathroom shower cabin shower cabin dirty silicone remove one come clean day clean main job never maintenance pool tiny cleanliness cleanliness say order fool clean comment say general sullenness apart operator akyaka general sullenness mood fill general good aspect course park big problem hotel parking lot side hotel wifi attract wifi close azmak tea central location update elif lady discuss issue clarify issue clarify clean do per day write answer elif lady say do per day say comment coincide day stay day say work focused satisfaction evaluation value important say work focused satisfaction evaluation problem elif lady contact,0.9607,positive,"{'positivity': 8.375, 'negativity': 6.75, 'objectivity': 123.875}",12.0
Panamare Apart & Hotel Akyaka,misfortune stay july july unlucky enough stay kyk dormitory could reach half quality kyk dormitory make negative comment business commercial enterprise would interpret customer give star spoiled people understand situation unfortunately opinion change yesterday misfortune stay business know know architecture apartment akyaka almost difference business business measure quality service see make panamera akyaka pension bad see make reception entrance close linoleum establish dialogue customer small hole create impression buying bus ticket take payment cash take credit card say difference take shower cabin room broken end bathroom sconce broken electrical tape carelessly wrap electrical tape cable forgotten room towel forgotten room request towel staff enter room staff check whether towel really give whether towel really give mood dormitory director explosion shower spiral daily stay cable channel pass floor enclose presence electrical antenna cable annual bathroom slipper see room bed base headboard complete service life long time bed base headboard sofa kitchen cabinet countertop except negative comment business see business owner respond rudely people make negative comment business blame customer see blame customer respond comment similar way bother,-0.9844,negative,"{'positivity': 10.125, 'negativity': 10.125, 'objectivity': 146.75}",-20.0
Panamare Apart & Hotel Akyaka,would definitely make vacation akyaka come across panamare apart chance adventure search apartment price attractive come directly without make reservation staff work reception desk help visit empty room rent room base request especially staff worked staff zeliha lady help staff communication help less thank make feel home especially adult child beautiful pool definitely choice visit akyaka come,0.9728,positive,"{'positivity': 7.125, 'negativity': 0.375, 'objectivity': 43.5}",16.0
Panamare Apart & Hotel Akyaka,cute decent immaculate family business azmak river close center market market close center advantage moment fingertip room immaculate clean stylishly design kitchen need good work business available need help immediately miss need thank owner elif aunt son next time next time prefer next time definitely,0.9423,positive,"{'positivity': 6.0, 'negativity': 0.75, 'objectivity': 36.25}",11.0
Panamare Apart & Hotel Akyaka,positive exterior nice check efficient easy long day travel list concern think management need address broken shower handle sharp screw expose one side close interior broken shower head drip water lopsided stream instead evenly distributed bedside lamp not work mattress insufficient easily roll floppy edge floor bathroom visible dirt toilet seat also spot towel often stiff hotel like also stain din table cover dust think stay get pay even overpriced area pay customer not feel respected level amenity maintain brought child would horrify danger present presence expose sharp object shower area level hygiene update upon leave review husband call management requesting change,-0.6862,negative,"{'positivity': 5.75, 'negativity': 5.75, 'objectivity': 88.5}",-3.0
Panamare Apart & Hotel Akyaka,wonderful hospitable people meet help everything free park convenient location easily reach place center foot time make repair apartment plumb bad condition stagger mold place bathroom day expect high quality apartment,0.8271,positive,"{'positivity': 4.125, 'negativity': 1.625, 'objectivity': 24.25}",7.0
Panamare Apart & Hotel Akyaka,room really comfortable stay two kid mom together people not feel squeezed plus service good,0.7574,positive,"{'positivity': 3.25, 'negativity': 1.375, 'objectivity': 10.375}",5.0
Panamare Apart & Hotel Akyaka,perfect hotel clean modern apartment location excellent river main street,0.8779,positive,"{'positivity': 1.0, 'negativity': 0.0, 'objectivity': 9.0}",8.0
Panamare Apart & Hotel Akyaka,clean large room staff helpful walk distance beach,0.6705,positive,"{'positivity': 0.25, 'negativity': 0.0, 'objectivity': 7.75}",4.0
Kerme Ottoman Gökova,location hotel really nice close akyaka find hotel child go unplanned hasty choice room beautifully settle wood think enthusiasm think difficult understand certain hotel dirty hotel difficult understand dirty price affordable dust officially affordable ask new sheet thank god attendant help immediately laid clean sheet everything kitchen could use impossible filth facility water go market buy water midnight pay night pay night garden nice pool nice child enough take enthusiasm enter leave short time boy stand door polite hotel owner polite owner hotel want want want guess choice,0.9582,positive,"{'positivity': 6.625, 'negativity': 7.25, 'objectivity': 71.125}",20.0
Kerme Ottoman Gökova,one serene cute boutique hotel stay around minute drive akyaka hotel marmaris akyaka muğla alternative preferred room clean new tidy garden pool village view upper floor room kind open inside person hotel opportunity stay cousin night not wait visit hotel family day short time family love village environment want escape hustle bustle holiday destination night right choice,0.9712,positive,"{'positivity': 3.375, 'negativity': 1.5, 'objectivity': 48.125}",13.0
Kerme Ottoman Gökova,car must akyaka minute affordable price price clean problem pay price garden quiet peaceful room look hygiene really troubled towel hard yellow pique sheet worn sheet,-0.6659,negative,"{'positivity': 2.125, 'negativity': 2.25, 'objectivity': 20.625}",-3.0
Kerme Ottoman Gökova,hotel accommodation concept enough spacious room small kitchen section stay long time pleasant time prepared nature intertwine small village give peace mind garden pool visual feast close river azmak akyaka akyaka car stay peacefully satisfied satisfy choose place choose,0.9509,positive,"{'positivity': 3.75, 'negativity': 0.5, 'objectivity': 31.75}",11.0
Kerme Ottoman Gökova,hello definitely prefer place term accommodation television work pillow bad pillow hard could sleep clean zero place dust foot officially muddy dust towel hard officially sandpaper handset would nice shower section shower hand would half shower never take shower zero interest zero information zero hotel see visual certain never experience disappointment holiday vacation unfortunately ruin want think holiday everyone,0.5402,positive,"{'positivity': 3.375, 'negativity': 8.375, 'objectivity': 43.25}",-3.0
Kerme Ottoman Gökova,place like apartment real kerme otel place akyaka pool small room may use sleep price discount,0.3612,positive,"{'positivity': 0.125, 'negativity': 0.0, 'objectivity': 12.875}",2.0
Kerme Ottoman Gökova,lovely staff quite location peaceful atmosphere definitely stay,0.8744,positive,"{'positivity': 0.75, 'negativity': 0.625, 'objectivity': 6.625}",5.0
Kerme Ottoman Gökova,nice stay ottoman palace traditional turkish cousine wonderful breakfast,0.7579,positive,"{'positivity': 0.75, 'negativity': 0.0, 'objectivity': 7.25}",7.0
Kerme Ottoman Gökova,poor wifi breakfast drinking water bad smell bathroom,-0.765,negative,"{'positivity': 0.0, 'negativity': 0.875, 'objectivity': 7.125}",-5.0
Kerme Ottoman Gökova,suitable family kid,0.0,neutral,"{'positivity': 0.125, 'negativity': 0.0, 'objectivity': 2.875}",2.0
Erdem Otel,unfortunately left hotel go unhappy go stay elsewhere stay family room clean toilet bowl work room family stay do stay smell sewage come room place hang towel room place hang towel room broken room give additional bed tell many day need additional bed would stay room say would give quilt say quilt different say quilt different put child serve watermelon rotten morning breakfast good quality unfortunately decrease,-0.8126,negative,"{'positivity': 2.875, 'negativity': 3.5, 'objectivity': 58.625}",1.0
Erdem Otel,stay akyaka everything expensive everything market water sell much fasten season short make profit go erdem hotel coincidence meet zafer thank relative try find place place help incoming customer try find place place try find place help price halal thank,0.9062,positive,"{'positivity': 4.0, 'negativity': 0.125, 'objectivity': 30.875}",10.0
Erdem Otel,close sea market restaurant close sea pool place calm beautiful environment friend reception anıl ilkan thank attention thank hand thank effort thank manager zafer help everything help everything number one people need solution refrigerator room zafer abi news,0.981,positive,"{'positivity': 3.375, 'negativity': 0.5, 'objectivity': 27.125}",19.0
Erdem Otel,perfect hotel stay akyaka pleasant holiday room nice clean staff friendly hotel pool minute walk sea hotel pool enough like breakfast holiday plan akyaka sure take look hotel definitely stay akyaka holiday would like thank hotel manager zafer interest hotel,0.9885,positive,"{'positivity': 1.5, 'negativity': 0.625, 'objectivity': 32.875}",20.0
Erdem Otel,price expectation room clean well maintained staff friendly attentive location hotel perfect close sea entertainment place place family satisfy,0.9477,positive,"{'positivity': 0.875, 'negativity': 0.0, 'objectivity': 18.125}",7.0
Erdem Otel,location perfect zafer anıl interested reception thing support request best stay night go ölüdeniz next night stay night ölüdeniz return erdem hotel back kitchen room staff friendly family come son satisfied room quite large want bring see available room suitable place choice beach step breakfast adequate although central location absolutely sound problem room think sound insulation hot water smoothly write last word call hotel place room find right thank hotel staff,0.9652,positive,"{'positivity': 3.25, 'negativity': 1.5, 'objectivity': 60.25}",18.0
Erdem Otel,super clean cheap hot water host super friendly speak excellent english best place stay since,0.9705,positive,"{'positivity': 1.375, 'negativity': 0.25, 'objectivity': 12.375}",16.0
Erdem Otel,nice hotel good room modern facility location also great definitely recommend,0.9325,positive,"{'positivity': 0.75, 'negativity': 0.125, 'objectivity': 10.125}",11.0
Erdem Otel,stay twice nice place close everything hope return future,0.6908,positive,"{'positivity': 0.25, 'negativity': 0.125, 'objectivity': 7.625}",5.0
Erdem Otel,employee helpful positive however room especially bathroom dirty,0.4976,positive,"{'positivity': 0.375, 'negativity': 1.25, 'objectivity': 6.375}",2.0
Raymar Hotels Muğla,hotel class extremely clean service quality high receptionist emrah bey kind helpful check process corridor smell wonderful cleaning product sheet spotless breakfast fresh thank staff thank reliable stop raymar hotel muğla,0.9516,positive,"{'positivity': 3.375, 'negativity': 0.625, 'objectivity': 24.0}",20.0
Raymar Hotels Muğla,long journey stay overnight next morning prefer go place immediately next morning spend day magnificent hotel room new closet want room air condition refrigerator detail throughout section room passing section call bedroom live area bathroom renew immaculate employee always smile try help breakfast buffet quality location akyaka muğla center akbük bay,0.8555,positive,"{'positivity': 4.0, 'negativity': 1.25, 'objectivity': 42.75}",10.0
Raymar Hotels Muğla,hotel stay come muğla wed clean nice staff polite room large furniture new price affordable surround hotel breakfast good satisfy recommended,0.9042,positive,"{'positivity': 1.875, 'negativity': 0.125, 'objectivity': 18.0}",14.0
Raymar Hotels Muğla,stay tour night hotel central location divide hotel two make additional building difficult go close belonging frankly room stay flat floor bad feature welcome food good cleaning good food open buffet dinner serve dinner plate taste portion enough breakfast buffet good room stay clean water hot,0.8126,positive,"{'positivity': 3.125, 'negativity': 2.0, 'objectivity': 40.875}",9.0
Raymar Hotels Muğla,hotel marmaris fethiye stay close center marmaris muğla way easily provide transportation akyaka marmaris fethiye newly build simple tastefully furnished clean hotel room face back side quiet pine tree view front room face road door close noise disturb much staff polite breakfast buffet nice enough polite breakfast buffet nice enough evil eye bead intention breakfast felt lack whole meal bread next white bread hospital find place chance work find week stay comfortable peaceful satisfied left,0.891,positive,"{'positivity': 5.375, 'negativity': 1.375, 'objectivity': 61.25}",13.0
Raymar Hotels Muğla,great accommodation service,0.6249,positive,"{'positivity': 0.5, 'negativity': 0.0, 'objectivity': 2.5}",3.0
Raymar Hotels Muğla,extremely clean service quality high hotel class hotel check process receptionist emrah kind helpful corridor smell great cleaning product sheet clean breakfast fresh thank employee raymar hotel reliable stop stay muğla,0.9577,positive,"{'positivity': 2.125, 'negativity': 0.625, 'objectivity': 25.25}",17.0
Raymar Hotels Muğla,wonderful hotel choose stay night long journey go place next morning spend day room new many closet not want room think detail section air condition tv wardrobe way room divide section call bedroom live area like bathroom already renovate spotlessly clean employee always friendly try help breakfast open buffet good quality location akyaka muğla center akbük bay,0.9475,positive,"{'positivity': 4.0, 'negativity': 1.625, 'objectivity': 48.375}",18.0
Raymar Hotels Muğla,come muğla wed hotel stay clean beautiful employee polite caring room large furniture new price affordable compare surround hotel breakfast also good satisfied recommend,0.9517,positive,"{'positivity': 3.625, 'negativity': 0.875, 'objectivity': 18.5}",18.0
Raymar Hotels Muğla,stayed one night tour hotel central location divide two build additional building close little difficult get belonging room stay bit low first floor bad feature welcome food clean good meal open buffet serve dinner plate taste portion sufficient breakfast open buffet nice room stay also clean water hot,0.7425,positive,"{'positivity': 1.375, 'negativity': 3.125, 'objectivity': 43.5}",8.0
Liya Boutique Hotel & Suites / Villa Yonca,location hotel within walk distance center room clean pleasantly decorate stayed room type suite room room use family room spacious useful breakfast delicious experienced advantage room breakfast front garden bring area breakfast want pleasant weekend would like thank hotel operator emir bey interest staff smile face would like see,0.9818,positive,"{'positivity': 2.0, 'negativity': 0.375, 'objectivity': 44.625}",23.0
Liya Boutique Hotel & Suites / Villa Yonca,wife child stay overnight room could stay overnight satisfied would lie say give hotel service guidance service place recommend good quality suitable beautiful day return go beach recommend without leave road go beach recommend take advantage day return home breakfast offer surprising incredibly many option available delicious room clean want change product inside without sulk enter feeling know emir bey ozan bey enter room occasion would like thank especially ozan bey emir bey interest clearly show hotel business turkey thing money show clearly write visit akyaka would say definitely stop,0.9895,positive,"{'positivity': 5.25, 'negativity': 2.125, 'objectivity': 73.625}",32.0
Liya Boutique Hotel & Suites / Villa Yonca,emir beye ozan beye thank sense interested sense get morning chatty thoughtful enough say good morning wave guest disturbed get morning room clean enough location hotel good side close forest side close beach side close beach visit place akyakan without car except click away main street sleep comfortably night noisy stair walk distance bay albay breakfast great great news great vacation receive thank,0.9828,positive,"{'positivity': 3.125, 'negativity': 1.25, 'objectivity': 52.625}",24.0
Liya Boutique Hotel & Suites / Villa Yonca,stayed immaculate room authentic ceiling garden like apartment camera interior carefully furnish breakfast delicious word magnificent air condition work well opportunity brew tea electric stove tea brew wonderfully lime free water akyaka enjoy glass clear sea contract beach hotel operator emir bey ozan bey job love care satisfaction guest rather money witness attach importance satisfaction guest rather money quality service provide admirable great constantly ask need guide sincerely place visit great baby meet cat nice snapshot summary address peace trust akyaka liya boutique thank,0.9969,positive,"{'positivity': 7.625, 'negativity': 2.75, 'objectivity': 69.625}",45.0
Liya Boutique Hotel & Suites / Villa Yonca,open come praise person day date june stay day likely place stay akyaka next vacation objectively evaluate possibility evaluate difficult find place close quality akyaka evaluate difficult find place close quality akyaka provide environment meet expectation people sensitive cleanliness staff tell room clean without request room outdoor clean spacious breakfast extra floor saw consistently offer quality standard subject breakfast extra breakfast liya day stay quality deteriorate throughout day extra request return negatively ask egg sausage ozan emir realize sausage ask egg sausage quickly provide material show sensitivity gentleman customer satisfaction small detail water coffee option provide good opportunity day provide network tourism activity staff people work tourism activity people work activity make bond guiding attitude activity example help contact boat tour provide information transportation surround place give information go worth valuable information worth quality material shower head toilet bowl bed cedar provide solid material without problem case air condition hotel pension type place air condition quality see anywhere close quality air condition product offer refrigerator market price proximity distance important place akyaka walk distance away noisy place term name ideal location summary line care customer term quality pass certain level quality location ahmet hilal love,0.9883,positive,"{'positivity': 13.125, 'negativity': 5.125, 'objectivity': 166.75}",40.0
Liya Boutique Hotel & Suites / Villa Yonca,ozan emir friendly best make feel comfortable wife stay three night time hotel felt like home normally breakfast start ask could earlier one day since need leave early boat tour accommodate request without hesitation professional great conversation suggest many thing stay hotel locate quite close beach minute walk also make quiet peaceful place away crowd main attraction nice garden cover tree enjoy amaze breakfast natural environment stay suite two spacious room balcony comfortable bed would definitely stay recommend anyone want great experience akyaka,0.9864,positive,"{'positivity': 3.375, 'negativity': 2.875, 'objectivity': 69.75}",32.0
Liya Boutique Hotel & Suites / Villa Yonca,love stay place nice room everything could want value amaze owner helpful friendly great guy get include breakfast decide see everything else breakfast good fresh much food selection would definitely recommend stay,0.9858,positive,"{'positivity': 2.25, 'negativity': 1.375, 'objectivity': 23.375}",22.0
Liya Boutique Hotel & Suites / Villa Yonca,tried three different hotel similar price akyaka favorite clean room generous delicious breakfast helpful staff bathroom layout could improve shower need door otherwise happy second stay one later,0.9686,positive,"{'positivity': 2.875, 'negativity': 0.625, 'objectivity': 22.5}",16.0
Liya Boutique Hotel & Suites / Villa Yonca,charm boutique hotel spacious room locate quiet area walk beach restaurant shop marina azmak creek turkish style breakfast diverse delicious feature traditional dish serve tastefully decorate courtyard shade bougain villea emir exceptionally kind friendly host welcome warmly provide useful information local beach bazaar buy authentic regional food product day cruise free park property plus wonderful experience day spend akyaka thank emir hope return,0.9868,positive,"{'positivity': 4.5, 'negativity': 0.25, 'objectivity': 54.25}",24.0
Liya Boutique Hotel & Suites / Villa Yonca,love close beach yet quiet apart bird chirp nothing much apartment spacious good bed shower delicious turkish breakfast include moreover staff hospitable would go extra make feel comfortable,0.9337,positive,"{'positivity': 3.5, 'negativity': 1.375, 'objectivity': 22.125}",12.0
İskelem Butik Otel,daily stay iskelem hotel night soon enter room smell cleanliness greet detail may need room thought person use room size room sufficient staff incredibly friendly sympathetic breakfast delicious except variety form mixed breakfast could increase hot type could increase delicious great experience dinner skeleton definitely try magnificent view magnificent service definitely recommend endless thank iskelem hotel family,0.9916,positive,"{'positivity': 2.625, 'negativity': 2.5, 'objectivity': 47.875}",26.0
İskelem Butik Otel,operator employee kaan wrong application increase average hotel map friend take hardworking customer dialogue let honest act give task kaan let really satisfied customer give star hotel beautiful location akyaka area hotel iskelem hotel hotel wide preferred iskelem hotel meet zero point sea reason preferred jump sea immediately pier sunbathe sun lounger bed locate breakfast great breakfast enough service great lady friend room standard large comfortable room balcony room wherever hold hand window mosquito net break inside fly enters light enough bathroom broken bathroom bathtub bathroom bathroom generally faulty faucet shower take time adjust hot water room bathroom clean enough see clean room cleaning clean even though put instruction carddnd door clean do door handle jamb close jamb card fold new door fold new key system fold new key system fold money safe need sun lounger pier remove table put environment great presentation dish service successful appetizer variety fish usually variety meat dish price average employee related customer room renew super boutique hotel,0.9942,positive,"{'positivity': 9.875, 'negativity': 3.125, 'objectivity': 144.0}",33.0
İskelem Butik Otel,stay royal suite room love room nice minus smell drain come bathroom fell love view location hotel view magnificent sun lounger beach part hotel sun lounger bed comfortable sea cold make reservation pier dinner breakfast ideal price location reasonable find exaggeration negative side express unfortunately problem employee experience employee take care thank seriously encounter late wrong order due inexperience many employee definitely like last time general arrival dinner beach already say next thank,0.9705,positive,"{'positivity': 5.125, 'negativity': 3.875, 'objectivity': 64.0}",16.0
İskelem Butik Otel,iskelem hotel really perfect place location meticulously arrange room clean friendly sympathetic staff perfect every way food delicious satisfy recommend everyone,0.9785,positive,"{'positivity': 1.75, 'negativity': 0.125, 'objectivity': 17.125}",17.0
İskelem Butik Otel,pleasant holiday hotel meet expectation general holiday breakfast good beach part clean enough employee friendly helpful restaurant even sun lounger beach set beach eat meal view price hotel customer outside opinion unfair situation average prefer economic room may small may serious smell drain room may insufficient clean room may bad leave water room day guest,0.9313,positive,"{'positivity': 3.125, 'negativity': 2.875, 'objectivity': 49.0}",6.0
İskelem Butik Otel,wonderful stay seaside gem akyaka hotel perfectly locate right beach front offering stunning view turquoise water beautiful sunset room clean spacious well equip everything need comfortable stay staff incredibly friendly always go extra make sure felt welcome take care,0.9867,positive,"{'positivity': 3.75, 'negativity': 2.0, 'objectivity': 31.25}",28.0
İskelem Butik Otel,wonderful boutique hotel restaurant locate beautiful fisherman cove sit water enjoy generously measure cocktail staff kaan particular super friendly welcome definitely visit,0.9786,positive,"{'positivity': 2.875, 'negativity': 0.0, 'objectivity': 18.125}",18.0
İskelem Butik Otel,hotel beautiful short walk drive downtown akyaka dinner dock super romantıc food delicious staff friendly attentive,0.9403,positive,"{'positivity': 1.125, 'negativity': 0.0, 'objectivity': 12.875}",11.0
İskelem Butik Otel,enjoy relaxing time zekeriya great beach dock helpful friendly water temp right love wind blowing water,0.967,positive,"{'positivity': 1.375, 'negativity': 0.125, 'objectivity': 13.5}",12.0
İskelem Butik Otel,beautiful location quiet cozy friendly staff authentic design really enjoy stay,0.8908,positive,"{'positivity': 2.5, 'negativity': 0.0, 'objectivity': 8.5}",7.0
Nova Aparts Otel,stay overnight september stay clean sparkle apart center noise center noise sound music afar beautiful dilan lady gentleman polite smile face satisfy definitely go place catch bus leave apart could see dilan lady catch bus thank everything wish see greet,0.9716,positive,"{'positivity': 4.25, 'negativity': 1.0, 'objectivity': 30.75}",15.0
Nova Aparts Otel,room simple clean huge balcony room ground floor dilan friendly helpful location close central sea sound music even hour weekend like pleasant holiday,0.9552,positive,"{'positivity': 1.125, 'negativity': 0.25, 'objectivity': 20.625}",12.0
Nova Aparts Otel,location apartment great stay comfortably dog stayed room room size enough double bed small could fit bed change owner hotel lady sweet kind breakfast give consider price give,0.9413,positive,"{'positivity': 0.25, 'negativity': 1.0, 'objectivity': 25.75}",10.0
Nova Aparts Otel,think close center nice location stay akyaka close center close pier close noise azmak close pier great location room nice satisfy service dilan madam ibrahim bey interested definitely price performance,0.9524,positive,"{'positivity': 1.125, 'negativity': 0.0, 'objectivity': 25.875}",11.0
Nova Aparts Otel,nova apart hotel room stay wife room everything useful everything immaculate interest attention smile make feel home location within walk distance everywhere beach azmak tea akyaka place peace intersect enjoy daily holiday full think extend day think extend day thank everyone contribute especially would like thank kind lady smile face problem parking lot not find place side street give per day pity park,0.9798,positive,"{'positivity': 4.125, 'negativity': 2.25, 'objectivity': 49.625}",17.0
Nova Aparts Otel,staff go beyond apartment clean comfortable internet also around perfect work also give extra table could set desk perfect location overall great stay back,0.9552,positive,"{'positivity': 0.125, 'negativity': 0.75, 'objectivity': 22.125}",13.0
Nova Aparts Otel,good size clean reasonably price self cater heart akyaka,0.6808,positive,"{'positivity': 0.875, 'negativity': 0.75, 'objectivity': 6.375}",5.0
Nova Aparts Otel,good location clean,0.6808,positive,"{'positivity': 0.5, 'negativity': 0.0, 'objectivity': 2.5}",5.0
Nova Aparts Otel,nice,0.4215,positive,"{'positivity': 0.0, 'negativity': 0.0, 'objectivity': 1.0}",3.0
Nova Aparts Otel,bad pretty standard,-0.0772,negative,"{'positivity': 0.875, 'negativity': 1.0, 'objectivity': 1.125}",-2.0
Mosso Boutique Hotel,think tried create boutique hotel divide build small room look like apartment add sea view room reserve standard room sea view unfortunately weak term hygiene hair strand bathroom hotel parking lot late big problem find place late price service receive high hotel area rush hotel different business restaurant breakfast magnificent material use good quality except breakfast disappointment,0.0258,neutral,"{'positivity': 5.375, 'negativity': 3.625, 'objectivity': 48.0}",5.0
Mosso Boutique Hotel,hande elgün minute akyaka minute come accommodation undecided want get idea comment want write want get idea comment would like thank team friendly kind sweet would like say location hotel perfect say zero sea let inform public beach close market restaurant tour boat not worry slope think business see great problem situation breakfast buffet open buffet enough delicious like room room narrow room usually sea sea travel think important think region preserve structure akyaka expectation luxury problem hygiene leave car ahead park lot leave car small place distance far problem price close price ground prefer peace mind,0.9823,positive,"{'positivity': 5.0, 'negativity': 4.375, 'objectivity': 81.625}",20.0
Mosso Boutique Hotel,comment research hesitantly go mosso room clean room satisfy restaurant part breakfast breakfast friend professional friendly respectful hotel accommodation attitude encounter situation breakfast good enough accommodation pro restaurant part hot drink free charge morning even friendly friend reception thank interest,0.9834,positive,"{'positivity': 3.875, 'negativity': 0.0, 'objectivity': 35.125}",15.0
